VENDOR:          http://joelib.sf.net
RELEASE_VERSION: $Revision: 1.2 $
RELEASE_DATE:    $Date: 2005/01/07 07:18:15 $

########################################################################
# Copyright OELIB:          OpenEye Scientific Software, Santa Fe,      
#                           U.S.A., 1999,2000,2001                      
# Copyright JOELIB/JOELib2: Dept. Computer Architecture, University of  
#                           Tuebingen, Germany, 2001,2002,2003,2004,2005
# Copyright JOELIB/JOELib2: ALTANA PHARMA AG, Konstanz, Germany,        
#                           2003,2004,2005                              
#                                                                       
# This program is free software; you can redistribute it and/or modify  
# it under the terms of the GNU General Public License as published by  
# the Free Software Foundation version 2 of the License.                
#                                                                       
# This program is distributed in the hope that it will be useful,       
# but WITHOUT ANY WARRANTY; without even the implied warranty of        
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the         
# GNU General Public License for more details.                          
########################################################################
#   - atomic number (used as an index to the vector as well)
#   - elemental symbol
#   - covalent radii
#   - "bond order radii" (usd in B.O. calc)
#   - van der Waals radii
#   - maximum bond valence
#   - RGB values (used by 2D and Java3D rendering)
#   - IUPAC recommended atomic masses (in amu)
#   - number of electrons
#   - period
#   - group
#   - electronegativity (Allred-Rochow) (missing values set to 0)
#   - electronegativity (Pauling) (missing values set to 0)
#   - electronegativity (Sanderson) (missing values set to 0)
#   - electronaffinity  (missing values set to 0)
#   - chemical abstract service (CAS) atom identifier (incomplete)
#########################################################################
# Num	Symb	RCov	RChains	RBO	RVdW	Max_Bnd	Red	Green	Blue	Mass	extEl	period	group	EN_allred_rochow	EN_pauling	EN_sanderson	electroaffinity	CAS
0	Xx	0	0	0	0	0	0.07	0.5	0.7	0	s0	0	0	0	0	0	0	0
1	H	0.23	0.32	0.33	1.2	1	1	1	1	1.008	s1	1	1	2.2	2.1	2.31	-0.756	1333-74-0
2	He	0.93	1.6	0.7	1.4	0	0.85	1	1	4.003	s2	1	18	5.5	0	0	0.5	7440-59-7
3	Li	0.68	0.68	1.23	1.82	1	0.8	0.5	1	6.941	s1	2	1	0.97	1	0.86	-0.618	7439-93-2
4	Be	0.35	0.352	0.9	1.7	2	0.76	1	0	9.012	s2	2	2	1.47	1.5	1.61	0.5	7440-41-7
5	B	0.83	0.832	0.82	2.08	3	1	0.71	0.71	10.812	s2p1	2	13	2.01	2	1.88	-0.277	7440-42-8
6	C	0.68	0.72	0.77	1.95	4	0.5	0.5	0.5	12.011	s2p2	2	14	2.5	2.5	2.47	-1.263	7782-42-5
#6	C	0.68	0.72	0.77	1.95	4	0	0.63	0.63	12.011	s2p2	2	14	2.5	2.5	2.47	-1.263	7782-42-5
7	N	0.68	0.68	0.7	1.85	4	0.05	0.05	1	14.007	s2p3	2	15	3.07	2.5	2.93	0.07	7727-37-9
8	O	0.68	0.68	0.66	1.7	2	1	0.05	0.05	15.999	s2p4	2	16	3.5	3.5	3.46	-1.461
9	F	0.64	0.64	0.611	1.73	1	0.7	1	1	18.998	s2p5	2	17	4.1	4	3.92	-3.399
10	Ne	0.7	1.12	0.7	1.54	0	0.7	0.89	0.96	20.18	s2p6	2	18	4.8	0	0	1.2
11	Na	0.97	0.972	1.54	2.27	1	0.67	0.36	0.95	22.99	s1	3	1	1.01	0.9	0.85	-0.546
12	Mg	1.1	1.1	1.36	1.73	2	0.54	1	0	24.305	s2	3	2	1.23	1.2	1.42	0.4
13	Al	1.35	1.352	1.18	2.05	6	0.75	0.65	0.65	26.982	s2p1	3	13	1.47	1.5	1.54	-0.456
14	Si	1.2	1.2	0.937	2.1	6	0.5	0.6	0.6	28.086	s2p2	3	14	1.74	1.8	1.74	-1.385
15	P	0.75	1.048	0.89	2.08	5	1	0.5	0	30.974	s2p3	3	15	2.06	2.1	2.16	-0.747
16	S	1.02	1.02	1.04	2	6	1	1	0.19	32.067	s2p4	3	16	2.44	2.5	2.66	-2.077
17	Cl	0.99	1	0.997	1.97	1	0.12	0.94	0.12	35.453	s2p5	3	17	2.83	3	3.28	-3.617
18	Ar	0.7	1.568	1.74	1.88	0	0.5	0.82	0.89	39.948	s2p6	3	18	3.2	0	0	1
19	K	1.33	1.328	2.03	2.75	1	0.56	0.25	0.83	39.098	s1	4	1	0.91	0.8	0.74	-0.502
20	Ca	0.99	0.992	1.74	1.973	2	0.24	1	0	40.078	s2	4	2	1.04	1	1.06	0.3
21	Sc	1.44	1.44	1.44	1.7	6	0.9	0.9	0.9	44.956	s2d1	4	3	1.2	1.3	1.09	0
22	Ti	1.47	1.472	1.32	1.7	6	0.75	0.76	0.78	47.867	s2d2	4	4	1.32	1.5	1.13	-0.21
23	V	1.33	1.328	1.22	1.7	6	0.65	0.65	0.67	50.942	s2d3	4	5	1.45	1.6	1.24	-0.52
24	Cr	1.35	1.352	1.18	1.7	6	0.54	0.6	0.78	51.996	s1d5	4	6	1.56	1.6	1.35	-0.66
25	Mn	1.35	1.352	1.17	1.7	8	0.61	0.48	0.78	54.938	s2d5	4	7	1.6	1.5	1.47	0
26	Fe	1.34	1.34	1.17	1.7	6	0.5	0.48	0.78	55.845	s2d6	4	8	1.64	1.8	1.47	-0.25
27	Co	1.33	1.328	1.16	1.7	6	0.44	0.48	0.78	58.933	s2d7	4	9	1.7	1.9	1.47	-0.73
28	Ni	1.5	1.5	1.15	1.63	6	0.36	0.48	0.76	58.693	s2d8	4	10	1.75	1.9	1.47	-1.15
29	Cu	1.52	1.52	1.17	1.4	6	1	0.48	0.38	63.546	s1d10	4	11	1.75	1.9	1.74	-1.226
